"","ETH.group","births","year"
"1","BAN",12971.3115502505,"2011"
"2","BLA",21226.2366749478,"2011"
"3","BLC",6479.40391422018,"2011"
"4","CHI",4440.71728081743,"2011"
"5","IND",26853.3685569371,"2011"
"6","MIX",36887.4011674008,"2011"
"7","OAS",13711.8608232431,"2011"
"8","OBL",3833.46988485662,"2011"
"9","OTH",4704.44818766224,"2011"
"10","PAK",33369.6984680807,"2011"
"11","WBI",505521.092167642,"2011"
"12","WHO",29791.4870829427,"2011"
"13","BAN",12823.3631127914,"2012"
"14","BLA",21078.4391380278,"2012"
"15","BLC",6270.83147780405,"2012"
"16","CHI",4788.07568924411,"2012"
"17","IND",26808.3474939653,"2012"
"18","MIX",36833.4668678176,"2012"
"19","OAS",13623.3611891984,"2012"
"20","OBL",3782.84122917566,"2012"
"21","OTH",4739.00626571068,"2012"
"22","PAK",33184.5165534991,"2012"
"23","WBI",494387.496180905,"2012"
"24","WHO",30027.5109440559,"2012"
"25","BAN",12625.9083623415,"2013"
"26","BLA",20862.0676724144,"2013"
"27","BLC",6042.07695484069,"2013"
"28","CHI",5151.97218755494,"2013"
"29","IND",26643.7013782547,"2013"
"30","MIX",36646.400767671,"2013"
"31","OAS",13507.2130362917,"2013"
"32","OBL",3722.77017814486,"2013"
"33","OTH",4760.29681274424,"2013"
"34","PAK",32895.0279633585,"2013"
"35","WBI",481079.8272576,"2013"
"36","WHO",30152.7393996335,"2013"
"37","BAN",12821.7598770158,"2014"
"38","BLA",21327.3124962909,"2014"
"39","BLC",6006.01422774917,"2014"
"40","CHI",5625.56908107473,"2014"
"41","IND",27102.2400736056,"2014"
"42","MIX",37412.3748990818,"2014"
"43","OAS",13795.639230324,"2014"
"44","OBL",3783.30559546083,"2014"
"45","OTH",4906.382562536,"2014"
"46","PAK",33499.4678370783,"2014"
"47","WBI",479632.024118808,"2014"
"48","WHO",31067.8298867905,"2014"
"49","BAN",13161.2729817206,"2015"
"50","BLA",22030.9386440625,"2015"
"51","BLC",6042.85717107229,"2015"
"52","CHI",6077.26964553179,"2015"
"53","IND",27597.4322175289,"2015"
"54","MIX",38378.1217418113,"2015"
"55","OAS",14192.3644131252,"2015"
"56","OBL",3889.1340141925,"2015"
"57","OTH",5072.3274185459,"2015"
"58","PAK",34324.2841205397,"2015"
"59","WBI",480751.07771649,"2015"
"60","WHO",32099.1985563501,"2015"
"61","BAN",13552.235086621,"2016"
"62","BLA",22797.8757008204,"2016"
"63","BLC",6102.47463566647,"2016"
"64","CHI",6526.72780130075,"2016"
"65","IND",28126.314593584,"2016"
"66","MIX",39445.978872091,"2016"
"67","OAS",14638.3128695062,"2016"
"68","OBL",4013.86274851067,"2016"
