"","ETH.group","year","sex","births"
"1","BAN","2011","person",12976.2021626051
"2","BLA","2011","person",21228.193193027
"3","BLC","2011","person",6480.56216406484
"4","CHI","2011","person",4437.63176474272
"5","IND","2011","person",26845.9033323012
"6","MIX","2011","person",36891.8566352787
"7","OAS","2011","person",13706.9326865939
"8","OBL","2011","person",3834.17117629013
"9","OTH","2011","person",4708.91232071569
"10","PAK","2011","person",33367.9311046735
"11","WBI","2011","person",505532.995604903
"12","WHO","2011","person",29797.1671032365
"13","BAN","2012","person",12837.4792610157
"14","BLA","2012","person",21081.3729499477
"15","BLC","2012","person",6273.90034474616
"16","CHI","2012","person",4778.23391833872
"17","IND","2012","person",26786.1334779216
"18","MIX","2012","person",36844.9425203955
"19","OAS","2012","person",13609.253572519
"20","OBL","2012","person",3784.76853022044
"21","OTH","2012","person",4752.04649098766
"22","PAK","2012","person",33178.4596221968
"23","WBI","2012","person",494421.090010566
"24","WHO","2012","person",30042.0583244682
"25","BAN","2013","person",12648.1501545883
"26","BLA","2013","person",20862.4327590378
"27","BLC","2013","person",6046.19182037576
"28","CHI","2013","person",5134.34983620278
"29","IND","2013","person",26606.1258886949
"30","MIX","2013","person",36661.6469461181
"31","OAS","2013","person",13485.0324090142
"32","OBL","2013","person",3725.58252086228
"33","OTH","2013","person",4781.10162797431
"34","PAK","2013","person",32884.0297948829
"35","WBI","2013","person",481131.618568165
"36","WHO","2013","person",30171.8240779328
"37","BAN","2014","person",12797.0355652546
"38","BLA","2014","person",21224.9406871731
"39","BLC","2014","person",5977.64595446809
"40","CHI","2014","person",5668.52885128882
"41","IND","2014","person",27164.9037359642
"42","MIX","2014","person",37474.8779853516
"43","OAS","2014","person",13767.6533014329
"44","OBL","2014","person",3771.93445165567
"45","OTH","2014","person",4950.88121238551
"46","PAK","2014","person",33509.3587025353
"47","WBI","2014","person",479757.397385251
"48","WHO","2014","person",31188.7936162289
"49","BAN","2015","person",13021.1838462428
"50","BLA","2015","person",21694.3295859235
"51","BLC","2015","person",5944.88551525137
"52","CHI","2015","person",6239.34519894813
"53","IND","2015","person",27808.8831394369
"54","MIX","2015","person",38466.837995378
"55","OAS","2015","person",14123.6027168834
"56","OBL","2015","person",3843.43675733978
"57","OTH","2015","person",5142.20195457654
"58","PAK","2015","person",34327.6197202179
"59","WBI","2015","person",480684.367221518
"60","WHO","2015","person",32292.7338935497
"61","BAN","2016","person",13278.3835017706
"62","BLA","2016","person",22183.2793000891
"63","BLC","2016","person",5929.07074576258
"64","CHI","2016","person",6798.94805709499
"65","IND","2016","person",28394.544973632
"66","MIX","2016","person",39473.9728530079
"67","OAS","2016","person",14474.413592385
"68","OBL","2016","person",3926.40841074862
"69","OTH","2016","person",5326.51886418703
"70","PAK","2016","person",35209.5527072259
"71","WBI","2016","person",482490.263901196
"72","WHO","2016","person",33280.3956239587
"73","BAN","2017","person",13534.1739640561
"74","BLA","2017","person",22649.3645283947
"75","BLC","2017","person",5910.15334928564
"76","CHI","2017","person",7332.89436514359
"77","IND","2017","person",28893.4747754424
"78","MIX","2017","person",40404.4186043995
"79","OAS","2017","person",14802.0412288395
"80","OBL","2017","person",4011.22561447437
"81","OTH","2017","person",5497.42971151877
"82","PAK","2017","person",36086.7279805208
"83","WBI","2017","person",483440.987217808
"84","WHO","2017","person",34143.1132988699
"85","BAN","2018","person",13780.6104177783
"86","BLA","2018","person",23085.1329386787
"87","BLC","2018","person",5885.54456723147
"88","CHI","2018","person",7826.76129451636
"89","IND","2018","person",29297.3079246724
"90","MIX","2018","person",41233.8705320679
"91","OAS","2018","person",15098.8271427317
"92","OBL","2018","person",4095.61118268597
